feature_id,layer12_width16k_l0_82_probe_a,layer20_width16k_l0_71_probe_a,layer25_width16k_l0_116_probe_a,best_layer,best_auc,worst_auc,spread
589,0.8525533102398103,0.934587460362063,0.9956949782809232,layer25_width16k_l0_116_probe_a,0.9956949782809232,0.8525533102398103,0.14314166804111295
590,0.7115988727795567,0.993462242137058,0.9873816314818396,layer20_width16k_l0_71_probe_a,0.993462242137058,0.7115988727795567,0.28186336935750134
591,0.8397645948814602,0.8828876523017818,0.7401707490550713,layer20_width16k_l0_71_probe_a,0.8828876523017818,0.7401707490550713,0.1427169032467105
592,0.8425628204693694,0.763002897627244,0.8687392855508009,layer25_width16k_l0_116_probe_a,0.8687392855508009,0.763002897627244,0.10573638792355688
593,0.9764806482955704,0.9734081542665938,0.6357829914845389,layer12_width16k_l0_82_probe_a,0.9764806482955704,0.6357829914845389,0.3406976568110315
594,0.9806983559882652,0.9752648419633736,0.8166290055332954,layer12_width16k_l0_82_probe_a,0.9806983559882652,0.8166290055332954,0.16406935045496973
595,0.9747465222401036,0.9187837796847984,0.6834084956525441,layer12_width16k_l0_82_probe_a,0.9747465222401036,0.6834084956525441,0.2913380265875595
596,,0.7999624166090165,0.7123135837911468,layer20_width16k_l0_71_probe_a,0.7999624166090165,0.7123135837911468,0.08764883281786962
597,0.880810195482095,0.9731919782712776,0.8727877102551739,layer20_width16k_l0_71_probe_a,0.9731919782712776,0.8727877102551739,0.10040426801610369
598,0.9687067338070016,0.905147549152168,0.7798363019582388,layer12_width16k_l0_82_probe_a,0.9687067338070016,0.7798363019582388,0.18887043184876273
599,0.9850696377216572,0.7238739080142185,0.8242233726401401,layer12_width16k_l0_82_probe_a,0.9850696377216572,0.7238739080142185,0.26119572970743876
600,0.8277981514517022,0.7889386813925984,0.8749204578000102,layer25_width16k_l0_116_probe_a,0.8749204578000102,0.7889386813925984,0.08598177640741178
